time,robot,pos,state,carrying_task
0,1,"(1, 1)",to_dropoff,1
0,2,"(9, 7)",to_dropoff,6
0,3,"(5, 4)",idle,3
1,1,"(1, 2)",to_dropoff,1
1,2,"(9, 7)",to_dropoff,6
1,3,"(5, 6)",to_dropoff,5
2,1,"(2, 2)",to_dropoff,1
2,2,"(9, 7)",to_dropoff,6
2,3,"(5, 7)",to_dropoff,5
3,1,"(3, 2)",to_dropoff,1
3,2,"(9, 7)",to_dropoff,6
3,3,"(6, 7)",to_dropoff,5
4,1,"(3, 3)",to_dropoff,1
4,2,"(9, 7)",to_dropoff,6
4,3,"(7, 7)",to_dropoff,5
5,1,"(3, 4)",to_dropoff,1
5,2,"(9, 7)",to_dropoff,6
5,3,"(8, 7)",to_dropoff,5
6,1,"(3, 5)",to_dropoff,1
6,2,"(9, 7)",to_dropoff,6
6,3,"(8, 7)",to_dropoff,5
7,1,"(3, 6)",to_dropoff,1
7,2,"(9, 7)",to_dropoff,6
7,3,"(8, 7)",to_dropoff,5
8,1,"(3, 7)",to_dropoff,1
8,2,"(9, 7)",to_dropoff,6
8,3,"(8, 7)",to_dropoff,5
9,1,"(4, 7)",to_dropoff,1
9,2,"(9, 7)",to_dropoff,6
9,3,"(8, 7)",to_dropoff,5
10,1,"(5, 7)",to_dropoff,1
10,2,"(9, 7)",to_dropoff,6
10,3,"(8, 7)",to_dropoff,5
11,1,"(6, 7)",to_dropoff,1
11,2,"(9, 7)",to_dropoff,6
11,3,"(8, 7)",to_dropoff,5
12,1,"(7, 7)",to_dropoff,1
12,2,"(9, 7)",to_dropoff,6
12,3,"(8, 7)",to_dropoff,5
13,1,"(8, 7)",to_dropoff,1
13,2,"(9, 7)",to_dropoff,6
13,3,"(8, 7)",to_dropoff,5
14,1,"(9, 7)",to_dropoff,1
14,2,"(9, 7)",to_dropoff,6
14,3,"(8, 7)",to_dropoff,5
15,1,"(9, 7)",to_dropoff,1
15,2,"(9, 7)",to_dropoff,6
15,3,"(8, 7)",to_dropoff,5
16,1,"(9, 7)",to_dropoff,1
16,2,"(9, 7)",to_dropoff,6
16,3,"(8, 7)",to_dropoff,5
17,1,"(9, 7)",to_dropoff,1
17,2,"(9, 7)",to_dropoff,6
17,3,"(8, 7)",to_dropoff,5
18,1,"(9, 7)",to_dropoff,1
18,2,"(9, 7)",to_dropoff,6
18,3,"(8, 7)",to_dropoff,5
19,1,"(9, 7)",to_dropoff,1
19,2,"(9, 7)",to_dropoff,6
19,3,"(8, 7)",to_dropoff,5
20,1,"(9, 7)",to_dropoff,1
20,2,"(9, 7)",to_dropoff,6
20,3,"(8, 7)",to_dropoff,5
21,1,"(9, 7)",to_dropoff,1
21,2,"(9, 7)",to_dropoff,6
21,3,"(8, 7)",to_dropoff,5
22,1,"(9, 7)",to_dropoff,1
22,2,"(9, 7)",to_dropoff,6
22,3,"(8, 7)",to_dropoff,5
23,1,"(9, 7)",to_dropoff,1
23,2,"(9, 7)",to_dropoff,6
23,3,"(8, 7)",to_dropoff,5
24,1,"(9, 7)",to_dropoff,1
24,2,"(9, 7)",to_dropoff,6
24,3,"(8, 7)",to_dropoff,5
25,1,"(9, 7)",to_dropoff,1
25,2,"(9, 7)",to_dropoff,6
25,3,"(8, 7)",to_dropoff,5
26,1,"(9, 7)",to_dropoff,1
26,2,"(9, 7)",to_dropoff,6
26,3,"(8, 7)",to_dropoff,5
27,1,"(9, 7)",to_dropoff,1
27,2,"(9, 7)",to_dropoff,6
27,3,"(8, 7)",to_dropoff,5
28,1,"(9, 7)",to_dropoff,1
28,2,"(9, 7)",to_dropoff,6
28,3,"(8, 7)",to_dropoff,5
29,1,"(9, 7)",to_dropoff,1
29,2,"(9, 7)",to_dropoff,6
29,3,"(8, 7)",to_dropoff,5
30,1,"(9, 7)",to_dropoff,1
30,2,"(9, 7)",to_dropoff,6
30,3,"(8, 7)",to_dropoff,5
31,1,"(9, 7)",to_dropoff,1
31,2,"(9, 7)",to_dropoff,6
31,3,"(8, 7)",to_dropoff,5
32,1,"(9, 7)",to_dropoff,1
32,2,"(9, 7)",to_dropoff,6
32,3,"(8, 7)",to_dropoff,5
33,1,"(9, 7)",to_dropoff,1
33,2,"(9, 7)",to_dropoff,6
33,3,"(8, 7)",to_dropoff,5
34,1,"(9, 7)",to_dropoff,1
34,2,"(9, 7)",to_dropoff,6
34,3,"(8, 7)",to_dropoff,5
35,1,"(9, 7)",to_dropoff,1
35,2,"(9, 7)",to_dropoff,6
35,3,"(8, 7)",to_dropoff,5
36,1,"(9, 7)",to_dropoff,1
36,2,"(9, 7)",to_dropoff,6
36,3,"(8, 7)",to_dropoff,5
37,1,"(9, 7)",to_dropoff,1
37,2,"(9, 7)",to_dropoff,6
37,3,"(8, 7)",to_dropoff,5
38,1,"(9, 7)",to_dropoff,1
38,2,"(9, 7)",to_dropoff,6
38,3,"(8, 7)",to_dropoff,5
39,1,"(9, 7)",to_dropoff,1
39,2,"(9, 7)",to_dropoff,6
39,3,"(8, 7)",to_dropoff,5
40,1,"(9, 7)",to_dropoff,1
40,2,"(9, 7)",to_dropoff,6
40,3,"(8, 7)",to_dropoff,5
41,1,"(9, 7)",to_dropoff,1
41,2,"(9, 7)",to_dropoff,6
41,3,"(8, 7)",to_dropoff,5
42,1,"(9, 7)",to_dropoff,1
42,2,"(9, 7)",to_dropoff,6
42,3,"(8, 7)",to_dropoff,5
43,1,"(9, 7)",to_dropoff,1
43,2,"(9, 7)",to_dropoff,6
43,3,"(8, 7)",to_dropoff,5
44,1,"(9, 7)",to_dropoff,1
44,2,"(9, 7)",to_dropoff,6
44,3,"(8, 7)",to_dropoff,5
45,1,"(9, 7)",to_dropoff,1
45,2,"(9, 7)",to_dropoff,6
45,3,"(8, 7)",to_dropoff,5
46,1,"(9, 7)",to_dropoff,1
46,2,"(9, 7)",to_dropoff,6
46,3,"(8, 7)",to_dropoff,5
47,1,"(9, 7)",to_dropoff,1
47,2,"(9, 7)",to_dropoff,6
47,3,"(8, 7)",to_dropoff,5
48,1,"(9, 7)",to_dropoff,1
48,2,"(9, 7)",to_dropoff,6
48,3,"(8, 7)",to_dropoff,5
49,1,"(9, 7)",to_dropoff,1
49,2,"(9, 7)",to_dropoff,6
49,3,"(8, 7)",to_dropoff,5
50,1,"(9, 7)",to_dropoff,1
50,2,"(9, 7)",to_dropoff,6
50,3,"(8, 7)",to_dropoff,5
51,1,"(9, 7)",to_dropoff,1
51,2,"(9, 7)",to_dropoff,6
51,3,"(8, 7)",to_dropoff,5
52,1,"(9, 7)",to_dropoff,1
52,2,"(9, 7)",to_dropoff,6
52,3,"(8, 7)",to_dropoff,5
53,1,"(9, 7)",to_dropoff,1
53,2,"(9, 7)",to_dropoff,6
53,3,"(8, 7)",to_dropoff,5
54,1,"(9, 7)",to_dropoff,1
54,2,"(9, 7)",to_dropoff,6
54,3,"(8, 7)",to_dropoff,5
55,1,"(9, 7)",to_dropoff,1
55,2,"(9, 7)",to_dropoff,6
55,3,"(8, 7)",to_dropoff,5
56,1,"(9, 7)",to_dropoff,1
56,2,"(9, 7)",to_dropoff,6
56,3,"(8, 7)",to_dropoff,5
57,1,"(9, 7)",to_dropoff,1
57,2,"(9, 7)",to_dropoff,6
57,3,"(8, 7)",to_dropoff,5
58,1,"(9, 7)",to_dropoff,1
58,2,"(9, 7)",to_dropoff,6
58,3,"(8, 7)",to_dropoff,5
59,1,"(9, 7)",to_dropoff,1
59,2,"(9, 7)",to_dropoff,6
59,3,"(8, 7)",to_dropoff,5
60,1,"(9, 7)",to_dropoff,1
60,2,"(9, 7)",to_dropoff,6
60,3,"(8, 7)",to_dropoff,5
61,1,"(9, 7)",to_dropoff,1
61,2,"(9, 7)",to_dropoff,6
61,3,"(8, 7)",to_dropoff,5
62,1,"(9, 7)",to_dropoff,1
62,2,"(9, 7)",to_dropoff,6
62,3,"(8, 7)",to_dropoff,5
63,1,"(9, 7)",to_dropoff,1
63,2,"(9, 7)",to_dropoff,6
63,3,"(8, 7)",to_dropoff,5
64,1,"(9, 7)",to_dropoff,1
64,2,"(9, 7)",to_dropoff,6
64,3,"(8, 7)",to_dropoff,5
65,1,"(9, 7)",to_dropoff,1
65,2,"(9, 7)",to_dropoff,6
65,3,"(8, 7)",to_dropoff,5
66,1,"(9, 7)",to_dropoff,1
66,2,"(9, 7)",to_dropoff,6
66,3,"(8, 7)",to_dropoff,5
67,1,"(9, 7)",to_dropoff,1
67,2,"(9, 7)",to_dropoff,6
67,3,"(8, 7)",to_dropoff,5
68,1,"(9, 7)",to_dropoff,1
68,2,"(9, 7)",to_dropoff,6
68,3,"(8, 7)",to_dropoff,5
69,1,"(9, 7)",to_dropoff,1
69,2,"(9, 7)",to_dropoff,6
69,3,"(8, 7)",to_dropoff,5
70,1,"(9, 7)",to_dropoff,1
70,2,"(9, 7)",to_dropoff,6
70,3,"(8, 7)",to_dropoff,5
71,1,"(9, 7)",to_dropoff,1
71,2,"(9, 7)",to_dropoff,6
71,3,"(8, 7)",to_dropoff,5
72,1,"(9, 7)",to_dropoff,1
72,2,"(9, 7)",to_dropoff,6
72,3,"(8, 7)",to_dropoff,5
73,1,"(9, 7)",to_dropoff,1
73,2,"(9, 7)",to_dropoff,6
73,3,"(8, 7)",to_dropoff,5
74,1,"(9, 7)",to_dropoff,1
74,2,"(9, 7)",to_dropoff,6
74,3,"(8, 7)",to_dropoff,5
75,1,"(9, 7)",to_dropoff,1
75,2,"(9, 7)",to_dropoff,6
75,3,"(8, 7)",to_dropoff,5
76,1,"(9, 7)",to_dropoff,1
76,2,"(9, 7)",to_dropoff,6
76,3,"(8, 7)",to_dropoff,5
77,1,"(9, 7)",to_dropoff,1
77,2,"(9, 7)",to_dropoff,6
77,3,"(8, 7)",to_dropoff,5
78,1,"(9, 7)",to_dropoff,1
78,2,"(9, 7)",to_dropoff,6
78,3,"(8, 7)",to_dropoff,5
79,1,"(9, 7)",to_dropoff,1
79,2,"(9, 7)",to_dropoff,6
79,3,"(8, 7)",to_dropoff,5
80,1,"(9, 7)",to_dropoff,1
80,2,"(9, 7)",to_dropoff,6
80,3,"(8, 7)",to_dropoff,5
81,1,"(9, 7)",to_dropoff,1
81,2,"(9, 7)",to_dropoff,6
81,3,"(8, 7)",to_dropoff,5
82,1,"(9, 7)",to_dropoff,1
82,2,"(9, 7)",to_dropoff,6
82,3,"(8, 7)",to_dropoff,5
83,1,"(9, 7)",to_dropoff,1
83,2,"(9, 7)",to_dropoff,6
83,3,"(8, 7)",to_dropoff,5
84,1,"(9, 7)",to_dropoff,1
84,2,"(9, 7)",to_dropoff,6
84,3,"(8, 7)",to_dropoff,5
85,1,"(9, 7)",to_dropoff,1
85,2,"(9, 7)",to_dropoff,6
85,3,"(8, 7)",to_dropoff,5
86,1,"(9, 7)",to_dropoff,1
86,2,"(9, 7)",to_dropoff,6
86,3,"(8, 7)",to_dropoff,5
87,1,"(9, 7)",to_dropoff,1
87,2,"(9, 7)",to_dropoff,6
87,3,"(8, 7)",to_dropoff,5
88,1,"(9, 7)",to_dropoff,1
88,2,"(9, 7)",to_dropoff,6
88,3,"(8, 7)",to_dropoff,5
89,1,"(9, 7)",to_dropoff,1
89,2,"(9, 7)",to_dropoff,6
89,3,"(8, 7)",to_dropoff,5
90,1,"(9, 7)",to_dropoff,1
90,2,"(9, 7)",to_dropoff,6
90,3,"(8, 7)",to_dropoff,5
91,1,"(9, 7)",to_dropoff,1
91,2,"(9, 7)",to_dropoff,6
91,3,"(8, 7)",to_dropoff,5
92,1,"(9, 7)",to_dropoff,1
92,2,"(9, 7)",to_dropoff,6
92,3,"(8, 7)",to_dropoff,5
93,1,"(9, 7)",to_dropoff,1
93,2,"(9, 7)",to_dropoff,6
93,3,"(8, 7)",to_dropoff,5
94,1,"(9, 7)",to_dropoff,1
94,2,"(9, 7)",to_dropoff,6
94,3,"(8, 7)",to_dropoff,5
95,1,"(9, 7)",to_dropoff,1
95,2,"(9, 7)",to_dropoff,6
95,3,"(8, 7)",to_dropoff,5
96,1,"(9, 7)",to_dropoff,1
96,2,"(9, 7)",to_dropoff,6
96,3,"(8, 7)",to_dropoff,5
97,1,"(9, 7)",to_dropoff,1
97,2,"(9, 7)",to_dropoff,6
97,3,"(8, 7)",to_dropoff,5
98,1,"(9, 7)",to_dropoff,1
98,2,"(9, 7)",to_dropoff,6
98,3,"(8, 7)",to_dropoff,5
99,1,"(9, 7)",to_dropoff,1
99,2,"(9, 7)",to_dropoff,6
99,3,"(8, 7)",to_dropoff,5
100,1,"(9, 7)",to_dropoff,1
100,2,"(9, 7)",to_dropoff,6
100,3,"(8, 7)",to_dropoff,5
101,1,"(9, 7)",to_dropoff,1
101,2,"(9, 7)",to_dropoff,6
101,3,"(8, 7)",to_dropoff,5
102,1,"(9, 7)",to_dropoff,1
102,2,"(9, 7)",to_dropoff,6
102,3,"(8, 7)",to_dropoff,5
103,1,"(9, 7)",to_dropoff,1
103,2,"(9, 7)",to_dropoff,6
103,3,"(8, 7)",to_dropoff,5
104,1,"(9, 7)",to_dropoff,1
104,2,"(9, 7)",to_dropoff,6
104,3,"(8, 7)",to_dropoff,5
105,1,"(9, 7)",to_dropoff,1
105,2,"(9, 7)",to_dropoff,6
105,3,"(8, 7)",to_dropoff,5
106,1,"(9, 7)",to_dropoff,1
106,2,"(9, 7)",to_dropoff,6
106,3,"(8, 7)",to_dropoff,5
107,1,"(9, 7)",to_dropoff,1
107,2,"(9, 7)",to_dropoff,6
107,3,"(8, 7)",to_dropoff,5
108,1,"(9, 7)",to_dropoff,1
108,2,"(9, 7)",to_dropoff,6
108,3,"(8, 7)",to_dropoff,5
109,1,"(9, 7)",to_dropoff,1
109,2,"(9, 7)",to_dropoff,6
109,3,"(8, 7)",to_dropoff,5
110,1,"(9, 7)",to_dropoff,1
110,2,"(9, 7)",to_dropoff,6
110,3,"(8, 7)",to_dropoff,5
111,1,"(9, 7)",to_dropoff,1
111,2,"(9, 7)",to_dropoff,6
111,3,"(8, 7)",to_dropoff,5
112,1,"(9, 7)",to_dropoff,1
112,2,"(9, 7)",to_dropoff,6
112,3,"(8, 7)",to_dropoff,5
113,1,"(9, 7)",to_dropoff,1
113,2,"(9, 7)",to_dropoff,6
113,3,"(8, 7)",to_dropoff,5
114,1,"(9, 7)",to_dropoff,1
114,2,"(9, 7)",to_dropoff,6
114,3,"(8, 7)",to_dropoff,5
115,1,"(9, 7)",to_dropoff,1
115,2,"(9, 7)",to_dropoff,6
115,3,"(8, 7)",to_dropoff,5
116,1,"(9, 7)",to_dropoff,1
116,2,"(9, 7)",to_dropoff,6
116,3,"(8, 7)",to_dropoff,5
117,1,"(9, 7)",to_dropoff,1
117,2,"(9, 7)",to_dropoff,6
117,3,"(8, 7)",to_dropoff,5
118,1,"(9, 7)",to_dropoff,1
118,2,"(9, 7)",to_dropoff,6
118,3,"(8, 7)",to_dropoff,5
119,1,"(9, 7)",to_dropoff,1
119,2,"(9, 7)",to_dropoff,6
119,3,"(8, 7)",to_dropoff,5
120,1,"(9, 7)",to_dropoff,1
120,2,"(9, 7)",to_dropoff,6
120,3,"(8, 7)",to_dropoff,5
121,1,"(9, 7)",to_dropoff,1
121,2,"(9, 7)",to_dropoff,6
121,3,"(8, 7)",to_dropoff,5
122,1,"(9, 7)",to_dropoff,1
122,2,"(9, 7)",to_dropoff,6
122,3,"(8, 7)",to_dropoff,5
123,1,"(9, 7)",to_dropoff,1
123,2,"(9, 7)",to_dropoff,6
123,3,"(8, 7)",to_dropoff,5
124,1,"(9, 7)",to_dropoff,1
124,2,"(9, 7)",to_dropoff,6
124,3,"(8, 7)",to_dropoff,5
125,1,"(9, 7)",to_dropoff,1
125,2,"(9, 7)",to_dropoff,6
125,3,"(8, 7)",to_dropoff,5
126,1,"(9, 7)",to_dropoff,1
126,2,"(9, 7)",to_dropoff,6
126,3,"(8, 7)",to_dropoff,5
127,1,"(9, 7)",to_dropoff,1
127,2,"(9, 7)",to_dropoff,6
127,3,"(8, 7)",to_dropoff,5
128,1,"(9, 7)",to_dropoff,1
128,2,"(9, 7)",to_dropoff,6
128,3,"(8, 7)",to_dropoff,5
129,1,"(9, 7)",to_dropoff,1
129,2,"(9, 7)",to_dropoff,6
129,3,"(8, 7)",to_dropoff,5
130,1,"(9, 7)",to_dropoff,1
130,2,"(9, 7)",to_dropoff,6
130,3,"(8, 7)",to_dropoff,5
131,1,"(9, 7)",to_dropoff,1
131,2,"(9, 7)",to_dropoff,6
131,3,"(8, 7)",to_dropoff,5
132,1,"(9, 7)",to_dropoff,1
132,2,"(9, 7)",to_dropoff,6
132,3,"(8, 7)",to_dropoff,5
133,1,"(9, 7)",to_dropoff,1
133,2,"(9, 7)",to_dropoff,6
133,3,"(8, 7)",to_dropoff,5
134,1,"(9, 7)",to_dropoff,1
134,2,"(9, 7)",to_dropoff,6
134,3,"(8, 7)",to_dropoff,5
135,1,"(9, 7)",to_dropoff,1
135,2,"(9, 7)",to_dropoff,6
135,3,"(8, 7)",to_dropoff,5
136,1,"(9, 7)",to_dropoff,1
136,2,"(9, 7)",to_dropoff,6
136,3,"(8, 7)",to_dropoff,5
137,1,"(9, 7)",to_dropoff,1
137,2,"(9, 7)",to_dropoff,6
137,3,"(8, 7)",to_dropoff,5
138,1,"(9, 7)",to_dropoff,1
138,2,"(9, 7)",to_dropoff,6
138,3,"(8, 7)",to_dropoff,5
139,1,"(9, 7)",to_dropoff,1
139,2,"(9, 7)",to_dropoff,6
139,3,"(8, 7)",to_dropoff,5
140,1,"(9, 7)",to_dropoff,1
140,2,"(9, 7)",to_dropoff,6
140,3,"(8, 7)",to_dropoff,5
141,1,"(9, 7)",to_dropoff,1
141,2,"(9, 7)",to_dropoff,6
141,3,"(8, 7)",to_dropoff,5
142,1,"(9, 7)",to_dropoff,1
142,2,"(9, 7)",to_dropoff,6
142,3,"(8, 7)",to_dropoff,5
143,1,"(9, 7)",to_dropoff,1
143,2,"(9, 7)",to_dropoff,6
143,3,"(8, 7)",to_dropoff,5
144,1,"(9, 7)",to_dropoff,1
144,2,"(9, 7)",to_dropoff,6
144,3,"(8, 7)",to_dropoff,5
145,1,"(9, 7)",to_dropoff,1
145,2,"(9, 7)",to_dropoff,6
145,3,"(8, 7)",to_dropoff,5
146,1,"(9, 7)",to_dropoff,1
146,2,"(9, 7)",to_dropoff,6
146,3,"(8, 7)",to_dropoff,5
147,1,"(9, 7)",to_dropoff,1
147,2,"(9, 7)",to_dropoff,6
147,3,"(8, 7)",to_dropoff,5
148,1,"(9, 7)",to_dropoff,1
148,2,"(9, 7)",to_dropoff,6
148,3,"(8, 7)",to_dropoff,5
149,1,"(9, 7)",to_dropoff,1
149,2,"(9, 7)",to_dropoff,6
149,3,"(8, 7)",to_dropoff,5
150,1,"(9, 7)",to_dropoff,1
150,2,"(9, 7)",to_dropoff,6
150,3,"(8, 7)",to_dropoff,5
151,1,"(9, 7)",to_dropoff,1
151,2,"(9, 7)",to_dropoff,6
151,3,"(8, 7)",to_dropoff,5
152,1,"(9, 7)",to_dropoff,1
152,2,"(9, 7)",to_dropoff,6
152,3,"(8, 7)",to_dropoff,5
153,1,"(9, 7)",to_dropoff,1
153,2,"(9, 7)",to_dropoff,6
153,3,"(8, 7)",to_dropoff,5
154,1,"(9, 7)",to_dropoff,1
154,2,"(9, 7)",to_dropoff,6
154,3,"(8, 7)",to_dropoff,5
155,1,"(9, 7)",to_dropoff,1
155,2,"(9, 7)",to_dropoff,6
155,3,"(8, 7)",to_dropoff,5
156,1,"(9, 7)",to_dropoff,1
156,2,"(9, 7)",to_dropoff,6
156,3,"(8, 7)",to_dropoff,5
157,1,"(9, 7)",to_dropoff,1
157,2,"(9, 7)",to_dropoff,6
157,3,"(8, 7)",to_dropoff,5
158,1,"(9, 7)",to_dropoff,1
158,2,"(9, 7)",to_dropoff,6
158,3,"(8, 7)",to_dropoff,5
159,1,"(9, 7)",to_dropoff,1
159,2,"(9, 7)",to_dropoff,6
159,3,"(8, 7)",to_dropoff,5
160,1,"(9, 7)",to_dropoff,1
160,2,"(9, 7)",to_dropoff,6
160,3,"(8, 7)",to_dropoff,5
161,1,"(9, 7)",to_dropoff,1
161,2,"(9, 7)",to_dropoff,6
161,3,"(8, 7)",to_dropoff,5
162,1,"(9, 7)",to_dropoff,1
162,2,"(9, 7)",to_dropoff,6
162,3,"(8, 7)",to_dropoff,5
163,1,"(9, 7)",to_dropoff,1
163,2,"(9, 7)",to_dropoff,6
163,3,"(8, 7)",to_dropoff,5
164,1,"(9, 7)",to_dropoff,1
164,2,"(9, 7)",to_dropoff,6
164,3,"(8, 7)",to_dropoff,5
165,1,"(9, 7)",to_dropoff,1
165,2,"(9, 7)",to_dropoff,6
165,3,"(8, 7)",to_dropoff,5
166,1,"(9, 7)",to_dropoff,1
166,2,"(9, 7)",to_dropoff,6
166,3,"(8, 7)",to_dropoff,5
167,1,"(9, 7)",to_dropoff,1
167,2,"(9, 7)",to_dropoff,6
167,3,"(8, 7)",to_dropoff,5
168,1,"(9, 7)",to_dropoff,1
168,2,"(9, 7)",to_dropoff,6
168,3,"(8, 7)",to_dropoff,5
169,1,"(9, 7)",to_dropoff,1
169,2,"(9, 7)",to_dropoff,6
169,3,"(8, 7)",to_dropoff,5
170,1,"(9, 7)",to_dropoff,1
170,2,"(9, 7)",to_dropoff,6
170,3,"(8, 7)",to_dropoff,5
171,1,"(9, 7)",to_dropoff,1
171,2,"(9, 7)",to_dropoff,6
171,3,"(8, 7)",to_dropoff,5
172,1,"(9, 7)",to_dropoff,1
172,2,"(9, 7)",to_dropoff,6
172,3,"(8, 7)",to_dropoff,5
173,1,"(9, 7)",to_dropoff,1
173,2,"(9, 7)",to_dropoff,6
173,3,"(8, 7)",to_dropoff,5
