time,robot,x,y,state,carrying_task
0,1,1,0,to_dropoff,1
0,2,0,0,to_dropoff,2
1,1,1,1,to_dropoff,1
1,2,1,0,to_dropoff,2
2,1,1,2,to_dropoff,1
2,2,1,1,to_dropoff,2
3,1,1,3,to_dropoff,1
3,2,1,2,to_dropoff,2
4,1,1,4,to_dropoff,1
4,2,1,3,to_dropoff,2
5,1,1,5,to_dropoff,1
5,2,1,4,to_dropoff,2
6,1,2,5,to_dropoff,1
6,2,1,5,to_dropoff,2
7,1,3,5,to_dropoff,1
7,2,2,5,to_dropoff,2
8,1,4,5,to_dropoff,1
8,2,3,5,to_dropoff,2
9,1,5,5,to_dropoff,1
9,2,4,5,to_dropoff,2
10,1,6,5,to_dropoff,1
10,2,5,5,to_dropoff,2
11,1,7,5,to_dropoff,1
11,2,6,5,to_dropoff,2
12,1,7,5,to_dropoff,1
12,2,7,5,to_dropoff,2
13,1,7,5,to_dropoff,1
13,2,7,5,to_dropoff,2
14,1,7,5,to_dropoff,1
14,2,7,5,to_dropoff,2
15,1,7,5,to_dropoff,1
15,2,7,5,to_dropoff,2
16,1,7,5,to_dropoff,1
16,2,7,5,to_dropoff,2
17,1,7,5,to_dropoff,1
17,2,7,5,to_dropoff,2
18,1,7,5,to_dropoff,1
18,2,7,5,to_dropoff,2
19,1,7,5,to_dropoff,1
19,2,7,5,to_dropoff,2
20,1,7,5,to_dropoff,1
20,2,7,5,to_dropoff,2
21,1,7,5,to_dropoff,1
21,2,7,5,to_dropoff,2
22,1,7,5,to_dropoff,1
22,2,7,5,to_dropoff,2
23,1,7,5,to_dropoff,1
23,2,7,5,to_dropoff,2
24,1,7,5,to_dropoff,1
24,2,7,5,to_dropoff,2
25,1,7,5,to_dropoff,1
25,2,7,5,to_dropoff,2
26,1,7,5,to_dropoff,1
26,2,7,5,to_dropoff,2
27,1,7,5,to_dropoff,1
27,2,7,5,to_dropoff,2
28,1,7,5,to_dropoff,1
28,2,7,5,to_dropoff,2
29,1,7,5,to_dropoff,1
29,2,7,5,to_dropoff,2
30,1,7,5,to_dropoff,1
30,2,7,5,to_dropoff,2
31,1,7,5,to_dropoff,1
31,2,7,5,to_dropoff,2
32,1,7,5,to_dropoff,1
32,2,7,5,to_dropoff,2
33,1,7,5,to_dropoff,1
33,2,7,5,to_dropoff,2
34,1,7,5,to_dropoff,1
34,2,7,5,to_dropoff,2
35,1,7,5,to_dropoff,1
35,2,7,5,to_dropoff,2
36,1,7,5,to_dropoff,1
